|negative|,|worst dressed gay of the year award goes to him. watching that interview was excruciating. out of all the gays in the world.|
|negative|,|anddddd the award for worst dressed year definitely goes to year|
|negative|,|AT_USER good lawd! AT_USER and award for worst dressed goes to? rt AT_USER why? why? why???.|
|negative|,|worst dressed actresses at award functions URL |
|negative|,|omg its been so long since he got a worst dressed award|
|negative|,|rt AT_USER the award for worst dressed man in britain goes to... what does he look like?? URL URL |
|negative|,|my library outfits could possibly earn me a worst dressed nomination (or award)| 
|negative|,|i think i win the worst dressed award at the gym today kneehisocks |
|negative|,|worst dressed award goes to you |
|negative|,|and the worst dressed award goes to annie lennox - wth? |
|negative|,|worst dressed actresses at award functions URL |
|negative|,|no wonder he got worst dressed award.. he wears robes everyday |
|negative|,|simplistic , silly and tedious .|
|negative|,|it's so laddish and juvenile , only teenage boys could possibly find it funny .|
|negative|,|exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .|
|negative|,|he discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .|
|negative|,|a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .|
|negative|,|the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .|
|negative|,|about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time|
|negative|,|not so much farcical as sour .|
|negative|,|unfortunately the story and the actors are served with a hack script .|
|negative|,|all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .|
|negative|,|a sentimental mess that never rings true .|
|negative|,|while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary|
|negative|,|but not compelling .|
|negative|,|on a cutting room floor somewhere lies footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .|
|negative|,|while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .|
|negative|,|there is a difference between movies with the courage to go over the top and movies that don't care about being stupid|
|negative|,|nothing here seems as funny as it did in analyze this|
|negative|,|here , common sense flies out the window , along with the hail of bullets|
|negative|,|this 100-minute movie only has about 25 minutes of decent material .|
|negative|,|the execution is so pedestrian that the most positive comment we can make is that the actor actually turns in a convincing performance as a prissy teenage girl .|
|negative|,|on its own , it's not very interesting . as a remake , it's a pale imitation .|
|negative|,|it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .|
|negative|,|a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .|
|negative|,|as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .|
|negative|,|the party scenes deliver some tawdry kicks . the rest of the film is dudsville .|
|negative|,|our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender and i know this because i've seen that movie|
|negative|,|the criticism never rises above easy , cynical potshots at morally bankrupt characters|
|negative|,|the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .|
|negative|,|stupid , infantile , redundant , sloppy , over-the-top , and amateurish|
|negative|,|somewhere in the middle , the film compels , as he experiments he harvests a few movie moment gems , but the field of roughage dominates .|
|negative|,|the action clichs just pile up .|
|negative|,|he tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .|
|negative|,|another useless recycling of a brutal mid 70s american sports movie .|
|negative|,|i didn't laugh . i didn't smile|
|negative|,|please , someone , stop him before he makes another film .|
|negative|,|most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved|
|negative|,|if you're just in the mood for a bad movie , you might want to catch freaks as a matinee .|
|negative|,|curling may be a unique sport but men with brooms is distinctly ordinary .|
|negative|,|there's no getting around the fact that this is revenge of the nerds revisited -- again .|
|negative|,|the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .|
|negative|,|analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .|
|negative|,|with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout by which time it's impossible to care who wins .|
|negative|,|stinks from start to finish , like a wet burlap sack of gloom .|
|negative|,|the lack of naturalness makes everything seem self-consciously poetic and forced. it's a pity that [nelson's] achievement doesn't match his ambition|
|negative|,|when he appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '|
|negative|,|an easy watch , except for the annoying demeanour of its lead character .|
|negative|,|forget the misleading title , what's with the unexplained baboon cameo ?|
|negative|,|though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .|
|negative|,|a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes .|
|negative|,|a pretentious and ultimately empty examination of a sick and evil woman .|
|negative|,|the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .|
|negative|,|the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end .|
